Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2663155,-,-,-,42.44,-76.51,0,126,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Wind Direction,Wind Speed
2020,1,1,0,30,0,0,0,263,1.1
2020,1,1,1,30,0,0,0,258,1
2020,1,1,2,30,0,0,0,254,1
2020,1,1,3,30,0,0,0,253,1
2020,1,1,4,30,0,0,0,253,1
2020,1,1,5,30,0,0,0,254,1
2020,1,1,6,30,0,0,0,257,1
2020,1,1,7,30,0,0,0,260,1
2020,1,1,8,30,0,0,0,262,1
2020,1,1,9,30,0,0,0,264,1.1
2020,1,1,10,30,0,0,0,265,1.1
2020,1,1,11,30,0,0,0,267,1.1
2020,1,1,12,30,0,0,0,269,1.1
2020,1,1,13,30,37,0,37,271,1.2000000000000002
2020,1,1,14,30,24,0,24,275,1.3
2020,1,1,15,30,83,0,83,278,1.3
2020,1,1,16,30,153,20,161,279,1.3
2020,1,1,17,30,124,0,124,280,1.3
2020,1,1,18,30,26,0,26,279,1.2000000000000002
2020,1,1,19,30,10,0,10,278,1.1
2020,1,1,20,30,21,0,21,275,1
2020,1,1,21,30,6,0,6,273,0.9
2020,1,1,22,30,0,0,0,270,0.8
2020,1,1,23,30,0,0,0,268,0.8
2020,1,2,0,30,0,0,0,256,0.7000000000000001
2020,1,2,1,30,0,0,0,244,0.6000000000000001
2020,1,2,2,30,0,0,0,230,0.5
2020,1,2,3,30,0,0,0,217,0.6000000000000001
2020,1,2,4,30,0,0,0,207,0.7000000000000001
2020,1,2,5,30,0,0,0,200,0.7000000000000001
2020,1,2,6,30,0,0,0,196,0.7000000000000001
2020,1,2,7,30,0,0,0,193,0.7000000000000001
2020,1,2,8,30,0,0,0,190,0.7000000000000001
2020,1,2,9,30,0,0,0,188,0.7000000000000001
2020,1,2,10,30,0,0,0,188,0.8
2020,1,2,11,30,0,0,0,187,0.8
2020,1,2,12,30,0,0,0,187,0.9
2020,1,2,13,30,29,0,29,190,1
2020,1,2,14,30,96,258,162,196,1
2020,1,2,15,30,55,840,352,201,1
2020,1,2,16,30,58,880,416,203,1
2020,1,2,17,30,124,537,347,200,1
2020,1,2,18,30,160,142,214,196,1
2020,1,2,19,30,117,56,134,193,0.9
2020,1,2,20,30,65,54,75,190,0.8
2020,1,2,21,30,9,0,9,191,0.9
2020,1,2,22,30,0,0,0,200,1
2020,1,2,23,30,0,0,0,205,1
2020,1,3,0,30,0,0,0,206,0.9
2020,1,3,1,30,0,0,0,210,0.9
2020,1,3,2,30,0,0,0,217,0.9
2020,1,3,3,30,0,0,0,219,0.8
2020,1,3,4,30,0,0,0,215,0.6000000000000001
2020,1,3,5,30,0,0,0,208,0.5
2020,1,3,6,30,0,0,0,207,0.7000000000000001
2020,1,3,7,30,0,0,0,207,0.7000000000000001
2020,1,3,8,30,0,0,0,202,0.5
2020,1,3,9,30,0,0,0,199,0.5
2020,1,3,10,30,0,0,0,204,0.5
2020,1,3,11,30,0,0,0,209,0.5
2020,1,3,12,30,0,0,0,210,0.5
2020,1,3,13,30,18,0,18,206,0.5
2020,1,3,14,30,29,0,29,206,0.5
2020,1,3,15,30,79,0,79,208,0.4
2020,1,3,16,30,51,0,51,208,0.4
2020,1,3,17,30,106,0,106,208,0.4
2020,1,3,18,30,33,0,33,209,0.4
2020,1,3,19,30,34,0,34,213,0.4
2020,1,3,20,30,40,0,40,227,0.5
2020,1,3,21,30,5,0,5,242,0.5
2020,1,3,22,30,0,0,0,252,0.4
2020,1,3,23,30,0,0,0,257,0.4
2020,1,4,0,30,0,0,0,270,0.4
2020,1,4,1,30,0,0,0,284,0.4
2020,1,4,2,30,0,0,0,309,0.5
2020,1,4,3,30,0,0,0,341,0.4
2020,1,4,4,30,0,0,0,192,0.4
2020,1,4,5,30,0,0,0,40,0.30000000000000004
2020,1,4,6,30,0,0,0,66,0.30000000000000004
2020,1,4,7,30,0,0,0,82,0.4
2020,1,4,8,30,0,0,0,88,0.4
2020,1,4,9,30,0,0,0,87,0.4
2020,1,4,10,30,0,0,0,89,0.4
2020,1,4,11,30,0,0,0,102,0.30000000000000004
2020,1,4,12,30,0,0,0,60,0.30000000000000004
2020,1,4,13,30,44,4,45,169,0.4
2020,1,4,14,30,78,0,78,330,0.6000000000000001
2020,1,4,15,30,102,0,102,330,0.8
2020,1,4,16,30,52,0,52,329,1
2020,1,4,17,30,16,0,16,329,1.1
2020,1,4,18,30,52,0,52,327,1.1
2020,1,4,19,30,15,0,15,321,1
2020,1,4,20,30,22,0,22,317,1
2020,1,4,21,30,3,0,3,319,1
2020,1,4,22,30,0,0,0,319,1
2020,1,4,23,30,0,0,0,319,1
2020,1,5,0,30,0,0,0,317,0.9
2020,1,5,1,30,0,0,0,310,0.8
2020,1,5,2,30,0,0,0,305,0.8
2020,1,5,3,30,0,0,0,305,0.9
2020,1,5,4,30,0,0,0,306,1.1
2020,1,5,5,30,0,0,0,305,1.2000000000000002
2020,1,5,6,30,0,0,0,304,1.2000000000000002
2020,1,5,7,30,0,0,0,302,1.3
2020,1,5,8,30,0,0,0,303,1.3
2020,1,5,9,30,0,0,0,304,1.4000000000000001
2020,1,5,10,30,0,0,0,306,1.4000000000000001
2020,1,5,11,30,0,0,0,308,1.4000000000000001
2020,1,5,12,30,0,0,0,309,1.4000000000000001
2020,1,5,13,30,14,0,14,309,1.5
2020,1,5,14,30,12,0,12,309,1.6
2020,1,5,15,30,59,0,59,308,1.7000000000000002
2020,1,5,16,30,99,0,99,308,1.6
2020,1,5,17,30,60,0,60,309,1.6
2020,1,5,18,30,163,136,215,309,1.5
2020,1,5,19,30,43,0,43,309,1.2000000000000002
2020,1,5,20,30,35,0,35,308,0.9
2020,1,5,21,30,5,0,5,306,0.6000000000000001
2020,1,5,22,30,0,0,0,300,0.5
2020,1,5,23,30,0,0,0,296,0.5
2020,1,6,0,30,0,0,0,263,0.5
2020,1,6,1,30,0,0,0,242,0.5
2020,1,6,2,30,0,0,0,221,0.5
2020,1,6,3,30,0,0,0,202,0.6000000000000001
2020,1,6,4,30,0,0,0,185,0.7000000000000001
2020,1,6,5,30,0,0,0,177,0.8
2020,1,6,6,30,0,0,0,177,0.9
2020,1,6,7,30,0,0,0,182,0.9
2020,1,6,8,30,0,0,0,191,0.9
2020,1,6,9,30,0,0,0,206,1
2020,1,6,10,30,0,0,0,226,1
2020,1,6,11,30,0,0,0,243,1
2020,1,6,12,30,0,0,0,254,1.1
2020,1,6,13,30,30,0,30,261,1.2000000000000002
2020,1,6,14,30,53,0,53,266,1.3
2020,1,6,15,30,101,0,101,270,1.5
2020,1,6,16,30,97,0,97,272,1.6
2020,1,6,17,30,173,50,194,273,1.5
2020,1,6,18,30,146,21,154,274,1.4000000000000001
2020,1,6,19,30,117,31,126,274,1.2000000000000002
2020,1,6,20,30,41,673,166,272,1
2020,1,6,21,30,16,291,28,267,1
2020,1,6,22,30,0,0,0,262,1.1
2020,1,6,23,30,0,0,0,260,1.2000000000000002
2020,1,7,0,30,0,0,0,258,1.4000000000000001
